file_name,file_size_mb,n_columns,columns_preview
ENTIRE_BEGINEND.csv,8.487701416015625e-05,3,"ONEORTWO, CREATED_DATE, MODIFIED_DATE"
ENTIRE_COND.csv,742.6186695098877,153,"CN, PLT_CN, INVYR, STATECD, UNITCD, COUNTYCD, PLOT, CONDID, COND_STATUS_CD, COND_NONSAMPLE_REASN_CD, RESERVCD, OWNCD, OWNGRPCD, ADFORCD, FORTYPCD"
ENTIRE_COND_DWM_CALC.csv,1090.4689044952393,106,"CN, STATECD, COUNTYCD, PLOT, MEASYEAR, INVYR, CONDID, EVALID, PLT_CN, CND_CN, STRATUM_CN, PHASE, CONDPROP_CWD, CONDPROP_FWD_SM, CONDPROP_FWD_MD"
ENTIRE_COUNTY.csv,0.17814350128173828,7,"STATECD, UNITCD, COUNTYCD, COUNTYNM, CN, CREATED_DATE, MODIFIED_DATE"
ENTIRE_DATAMART_MOST_RECENT_INV.csv,0.0013685226440429688,4,"STATECD, EVAL_GRPS, COMMENTS, STATEAB"
ENTIRE_DWM_COARSE_WOODY_DEBRIS.csv,349.89692878723145,51,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, SUBP, TRANSECT, CWDID, MEASYEAR, CONDID, SLOPDIST, HORIZ_DIST, SPCD, DECAYCD"
ENTIRE_DWM_DUFF_LITTER_FUEL.csv,270.9198007583618,24,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, TRANSECT, SUBP, SMPLOCCD, MEASYEAR, CONDID, DUFFDEP, LITTDEP, FUELDEP, CREATED_DATE"
ENTIRE_DWM_FINE_WOODY_DEBRIS.csv,138.4657964706421,30,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, TRANSECT, SUBP, CONDID, MEASYEAR, SMALLCT, MEDIUMCT, LARGECT, RSNCTCD, PILESCD"
ENTIRE_DWM_MICROPLOT_FUEL.csv,19.21204948425293,20,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, SUBP, MEASYEAR, LVSHRBCD, DSHRBCD, LVHRBCD, DHRBCD, LITTERCD, LVSHRBHT, DSHRBHT"
ENTIRE_DWM_RESIDUAL_PILE.csv,0.6038036346435547,33,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, SUBP, PILE, MEASYEAR, CONDID, SHAPECD, DENSITY, HEIGHT1, WIDTH1, LENGTH1"
ENTIRE_DWM_TRANSECT_SEGMENT.csv,391.9148950576782,22,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, SUBP, TRANSECT, SEGMNT, MEASYEAR, CONDID, SLOPE_BEGNDIST, SLOPE_ENDDIST, SLOPE, HORIZ_LENGTH"
ENTIRE_DWM_VISIT.csv,50.868760108947754,25,"CN, PLT_CN, INVYR, STATECD, COUNTYCD, PLOT, MEASDAY, MEASMON, MEASYEAR, QASTATCD, CRWTYPCD, SMPKNDCD, CREATED_DATE, MODIFIED_DATE, CWD_SAMPLE_METHOD"
ENTIRE_EVALIDATOR_ESTIMATE_GRP.csv,0.004319190979003906,5,"ESTIMATE_GRP_NBR, ESTIMATE_GRP_DESCR, CREATED_DATE, MODIFIED_DATE, ACTIVE"
ENTIRE_EVALIDATOR_POP_ESTIMATE.csv,3.084404945373535,25,"ATTRIBUTE_NBR, ATTRIBUTE_DESCR, VBA_SUMFROMWHERE, PEA_SURROGATE, CONDTREESEED, SORT_COL, EVAL_TYP, ESTIMATE_METADATA, CREATED_DATE, MODIFIED_DATE, LAND_BASIS, ESTIMATE_GRP_DESCR, ESTIMATE, ESTN_TYPE, ESTN_TREE_PORTION"
