forest_type_name,row_count,median_CARBON_AG,mean_CARBON_AG
California mixed conifer,111745,284.91333,1665.8919142496575
Douglas-fir,443514,279.93978749999997,1518.1897440479445
Ponderosa pine,127529,205.877915,811.5705343076477
Oak / gum / cypress group,118815,99.932027,371.98234989683124
Sweetbay / swamp tupelo / red maple,95416,96.794733,208.84036499627942
White oak / red oak / hickory,141475,93.478098,289.5779803808871
Slash pine,220542,85.314064,173.02633458241516
Mixed upland hardwoods,103365,84.866854,243.89224521168677
Lodgepole pine,92309,82.676446,306.1295403331853
Sugar maple / beech / yellow birch,247417,79.098409,156.4008263586617
Loblolly pine,721929,73.281769,159.6783064261693
Loblolly pine / hardwood,135723,71.382463,209.35666995224096
Oak / hickory group,116853,50.828583,327.43925454792776
Balsam fir,118849,41.15007,67.44174294630162
Oak / pine group,82103,27.193369,214.81329374989951
