variable,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage
CN,4540549.0,350556886365910.94,417809630522429.0,1.0,157611011010854.0,205408335010854.0,374548940489998.0,1898153985290487.0,0,0.0
PLT_CN,4540549.0,241393447436684.8,290079200742998.25,3.0,43513372010478.0,157573904010854.0,282501547489998.0,1535570864290487.0,0,0.0
INVYR,4540549.0,2004.3614952729286,13.649944969727601,1972.0,1997.0,2007.0,2015.0,2024.0,0,0.0
STATECD,4540549.0,19.494896101770955,16.105778014234758,1.0,6.0,13.0,23.0,53.0,0,0.0
UNITCD,4540549.0,3.521077076802827,2.1774143013946996,0.0,2.0,3.0,5.0,9.0,0,0.0
COUNTYCD,4540549.0,80.98291660325657,82.74919289147445,1.0,21.0,47.0,111.0,321.0,0,0.0
PLOT,4540549.0,38893.5670351757,41265.7358249601,1.0,55.0,2946.0,89447.0,99997.0,0,0.0
SUBP,4540549.0,61.74019969831842,196.71642993802152,1.0,2.0,3.0,4.0,999.0,0,0.0
TREE,4540549.0,22326.633489034037,279974.2895297783,1.0,4.0,13.0,124.0,4879266.0,0,0.0
CONDID,4540549.0,1.082281900272412,0.3042725620760291,1.0,1.0,1.0,1.0,6.0,0,0.0
STATUSCD,4540549.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
SPCD,4540549.0,332.9835561734936,292.60202175348894,11.0,122.0,202.0,611.0,8944.0,0,0.0
DIA,4540549.0,8.909114129150462,7.8016417014139146,1.0,4.8,7.0,10.8,192.0,0,0.0
DIAHTCD,4540549.0,1.0026399891290678,0.05131296294657464,1.0,1.0,1.0,1.0,2.0,0,0.0
HT,4018110.0,52.09094250779595,30.882490519359692,1.0,31.0,47.0,65.0,331.0,522439,11.50607558689489
ACTUALHT,3346557.0,53.246981898112,31.12212668587438,1.0,33.0,48.0,65.0,331.0,1193992,26.29620338862107
CR,4108770.0,42.69943924824217,18.245625462541877,0.0,30.0,40.0,55.0,100.0,431779,9.509400735461725
CCLCD,4452273.0,3.391268010744175,0.9767160266443407,0.0,3.0,3.0,4.0,9.0,88276,1.9441701873495913
CARBON_AG,4540549.0,494.80082257626253,1535.0011459321058,0.006032,29.242906,96.494999,303.68076,180422.108817,0,0.0
CARBON_BG,4540548.0,104.73486023144851,347.0632896360279,0.001218,4.847876,18.530238,62.334466500000005,53343.355014,1,2.2023768491431325e-05
DRYBIO_AG,4540466.0,986.1839285719885,3005.068205627938,0.01262,59.483669,197.787347,618.392918,339777.982707,83,0.0018279727847887997
DRYBIO_BG,4540548.0,208.2379213324625,676.9856357107083,0.002549,9.843212,37.961044,127.022983,100458.295695,1,2.2023768491431325e-05
VOLCFNET,3476844.0,30.324927848206016,90.09209338251044,-308.763,2.469219,6.253716000000001,18.77916075,14161.154469,1063705,23.426792663177956
VOLCSNET,1771827.0,51.629530478328306,121.5056078346992,0.0,0.0,13.666667,39.380175,14160.769711,2768722,60.977692345132716
VOLBFNET,1771827.0,338.9649878974945,865.343214111908,0.0,0.0,69.569357,225.8302435,79711.454185,2768722,60.977692345132716
TPA_UNADJ,4327901.0,21.41447340828175,29.07724615416711,0.0,6.018046,6.018046,14.869,573.528991,212648,4.683310322165888
PLOT_CN_KEY,4540549.0,241393447436684.8,290079200742998.25,3.0,43513372010478.0,157573904010854.0,282501547489998.0,1535570864290487.0,0,0.0
STATECD_PLOT,4540549.0,19.494896101770955,16.105778014234758,1.0,6.0,13.0,23.0,53.0,0,0.0
UNITCD_PLOT,4540549.0,3.5210808208434705,2.1774142651496633,0.0,2.0,3.0,5.0,9.0,0,0.0
COUNTYCD_PLOT,4540549.0,80.98291660325657,82.74919289147445,1.0,21.0,47.0,111.0,321.0,0,0.0
PLOT_PLOT,4540549.0,38893.5670351757,41265.7358249601,1.0,55.0,2946.0,89447.0,99997.0,0,0.0
PLOT_STATUS_CD,4540549.0,1.0008265520314834,0.02873793703643583,1.0,1.0,1.0,1.0,2.0,0,0.0
INVYR_PLOT,4540549.0,2004.3614952729286,13.649944969727601,1972.0,1997.0,2007.0,2015.0,2024.0,0,0.0
MEASYEAR,4539672.0,2004.1533670273975,13.957188132537597,1970.0,1996.0,2006.0,2015.0,2025.0,877,0.01931484496698527
MEASMON,4539254.0,6.9780952993597625,2.910613168306805,1.0,5.0,7.0,9.0,12.0,1295,0.028520780196403566
MEASDAY,3688274.0,15.043049133551358,8.917592715423494,0.0,8.0,15.0,22.0,31.0,852275,18.77030729103463
LAT,4540549.0,38.45802765081734,6.231959911618645,30.22,32.64,34.864339,44.88406,48.99933,0,0.0
LON,4540549.0,-93.14563197657178,19.8080174019239,-124.700359,-119.80436,-85.207671,-82.322628,-66.99943,0,0.0
CN_COND,4540549.0,350402176716145.6,417887869781589.44,1.0,157578044010854.0,205290220010854.0,374548870489998.0,1898153949290487.0,0,0.0
COND_STATUS_CD,4540549.0,1.0015608244729877,0.04062028483738704,1.0,1.0,1.0,1.0,5.0,0,0.0
FORTYPCD,4533620.0,373.8949717885487,248.6844965812258,101.0,161.0,270.0,514.0,999.0,6929,0.15260269187712763
OWNGRPCD,4537586.0,32.49394501834235,12.419024652214802,10.0,30.0,40.0,40.0,40.0,2963,0.065256426040111
RESERVCD,4454020.0,0.04500630890745888,0.20731799419216732,0.0,0.0,0.0,0.0,1.0,86529,1.9056946637950611
SITECLCD,4533620.0,4.424367944379988,1.1342512009560248,1.0,4.0,5.0,5.0,7.0,6929,0.15260269187712763
STDAGE,4463270.0,63.42100522710927,61.87679617849594,0.0,25.0,49.0,80.0,1028.0,77279,1.7019748052493213
STDSZCD,4523345.0,1.5996960214177782,0.7353557204038542,1.0,1.0,1.0,2.0,5.0,17204,0.37889691312658447
BALIVE,3598495.0,145.20705326918616,110.13679534836692,0.3271,90.7073,128.1359,178.3178,99065.1668,942054,20.747579202426845
ALSTK,4404873.0,75.68080706676446,28.967608257009225,0.0,54.8898,73.8671,96.361,200.0,135676,2.9880968138434363
GSSTK,4402268.0,68.91877118146829,27.626425251239876,0.0,48.5503,67.2932,88.0792,200.0,138281,3.0454687307636146
