species_name,row_count,median_CARBON_AG,mean_CARBON_AG
Douglas-fir,378877,422.57506,2008.8622694166497
ponderosa pine,132460,261.83412050000004,1083.9179540562056
white fir,70657,212.796853,1305.7288630029295
western hemlock,110919,190.644999,1028.3464916848602
yellow-poplar,65856,149.65916950000002,382.7923661522868
slash pine,187008,107.958337,209.73097039243777
loblolly pine,594859,90.549235,197.17044354665055
lodgepole pine,98430,89.162542,255.67405721922177
water oak,106628,85.075916,268.77469710517875
swamp tupelo,102550,76.022295,198.7857698187421
red spruce,93093,75.461314,130.27724588228975
northern white-cedar,63166,67.792948,99.44929727424564
red maple,217297,67.527053,140.19435907752063
sweetgum,212315,46.686121,151.3419792055625
balsam fir,200280,28.797305,45.48214138406231
