SPCD,tree_count,mean_carbon,median_carbon,min_carbon,max_carbon
131,594859,197.17044354665055,90.549235,0.207023,8027.006938
202,378877,2008.8622694166497,422.57506,0.162217,97377.542504
316,217297,140.19435907752063,67.527053,0.049317,12947.535307
611,212315,151.3419792055625,46.686121,0.241911,10382.810363
12,200280,45.48214138406231,28.797305,0.059829,1075.510338
111,187008,209.73097039243777,107.958337,0.418884,5905.760131
122,132460,1083.9179540562056,261.83412050000004,0.262305,36435.500904
263,110919,1028.3464916848602,190.644999,0.240983,57907.166471
827,106628,268.77469710517875,85.075916,0.406006,13372.629612
694,102550,198.7857698187421,76.022295,0.532472,9000.102349
108,98430,255.67405721922177,89.162542,0.288775,13185.535064
97,93093,130.27724588228975,75.461314,0.099732,2664.432416
15,70657,1305.7288630029295,212.796853,0.117182,39456.898116
621,65856,382.7923661522868,149.65916950000002,0.230063,12371.110262
241,63166,99.44929727424564,67.792948,0.096844,1479.019541
110,63149,211.85595363470523,107.645042,0.200452,5476.124888
11,55503,702.4255992796966,120.172301,0.364302,36016.267193
802,54238,526.2921721550205,218.547337,0.422367,21550.616331
17,50839,742.4968237424024,154.460184,0.355435,36817.148632
820,49307,416.6653970581459,103.094049,0.697385,16642.747092
375,47266,118.6077352547074,80.598846,0.19013,4553.32901
531,46107,158.1412725878283,64.855027,0.006032,9153.030912
491,43322,20.15180786454919,5.873167,0.360418,453.560838
121,43229,320.3572888872979,195.421985,0.236739,3710.903418
129,41330,309.8299848146625,123.549579,0.098191,7321.56741
631,39704,365.040642229322,99.79086,0.38858,19825.864306
812,39546,374.0991352786375,145.564611,0.590162,22922.879306
371,38667,185.81830123084285,95.732669,0.123232,5827.718957
693,38650,131.9242112117723,48.201851,0.379151,4108.304175
261,38307,190.4264190294202,102.72617,0.12673,4676.605692
318,36065,267.2161918937474,140.315544,0.130476,7742.190219
400,35583,264.1456048737037,46.908128,0.032432,15344.110946
242,34553,1171.6013275443522,132.994147,0.187784,51265.319721
132,34075,163.95411119914894,96.499245,0.513613,2644.583683
351,33972,352.6183663671259,200.437041,0.672227,9373.161067
653,33336,140.08681398074154,61.39594,0.017175,4648.91672
832,30839,515.5567539788254,267.823742,0.46538,8997.111735
264,30067,851.7188794955599,185.587182,0.268694,21103.793967
805,30039,310.0538405066414,92.228235,0.426406,26592.058878
711,28737,81.77860925448029,59.7553,0.547281,1848.189154
762,28398,82.10663220765547,28.837598,0.151937,4144.645435
81,27574,941.7506171503228,136.211432,0.241407,24592.860074
835,25003,254.23240041758987,115.449806,0.156876,8326.549182
222,24551,213.39679647431876,107.27518,0.515807,20294.907607
19,24328,211.31347397184317,77.39122950000001,0.356174,8608.661726
833,23031,488.46696759563196,246.60001,0.626729,11797.619216
746,20983,155.11518404999285,83.616662,0.206315,3492.50087
95,20674,76.65687310404373,58.086704,0.221046,934.534056
64,20573,310.85086632887766,100.505229,0.363371,21454.950268
211,18349,2221.422287615783,882.610263,0.35991,180422.108817
818,17106,586.8001107616041,149.854916,0.314642,25050.194259
361,16781,517.6279187770693,159.287927,0.444308,26958.819553
403,16479,375.74962926979794,165.987795,0.597343,13004.988227
312,16125,583.0831086507287,160.758039,0.424816,38874.938936
73,15852,799.2544402727732,303.032282,0.361646,11723.261045
541,15326,188.0540262432468,113.465479,0.233404,3718.618847
94,14776,177.85919182512183,83.66139,0.156104,3682.654861
971,14366,113.94684585639705,56.723739,0.513688,3889.961111
116,14346,1551.7728812660673,386.5564395,0.265373,38823.82787
806,14344,585.2197791137061,355.751056,0.620754,9384.132469
837,14030,410.7389517513186,196.786254,0.78001,12681.761984
391,13917,57.82694897262341,10.637748,0.651049,1840.392133
409,13798,304.60387519162197,133.288924,0.461644,13326.578941
20,13718,2448.0004154207613,1015.240729,0.380559,33921.419907
93,13342,713.8798680084694,227.6573255,0.36031,9027.310649
999,13323,37.657754467762516,4.706028,0.341712,2512.633133
544,12427,223.43861582224187,95.36035,0.725358,5126.772742
315,11606,11.06762552808892,2.85019,0.209342,358.005848
68,11587,108.85127653784413,58.555119,0.521495,2603.523836
691,11372,539.7220910439677,257.250566,0.586384,66875.541209
815,11333,301.64255999082326,89.105515,0.39152,28265.2223
521,10831,53.87953793352414,4.609101,0.452155,2787.148438
701,10772,51.89886765076124,13.168786,0.291171,3281.268532
807,10649,263.15979351197296,95.711516,0.615218,12691.225955
117,9553,3034.3923225871454,1756.915024,0.238097,62075.725123
591,9371,46.55289566449685,7.320997,0.505914,1350.149138
743,8682,199.79372329474776,106.4234,0.506728,4073.320439
970,8674,172.7073811917224,14.956594,0.582064,5786.937841
831,8519,582.6608107721564,174.851344,0.565194,15454.434312
21,8442,1793.2693414485905,400.192423,0.337249,48248.298192
838,8231,900.1931893308225,184.652628,0.848333,30081.035033
22,8215,1518.6357249164942,247.902143,0.366837,51256.46588
540,8170,267.62860454271726,44.076618,0.577591,6704.392542
839,7888,159.9226994698276,60.069385,0.361698,11080.924089
981,7225,277.8271966413841,77.505918,0.343127,18453.346171
379,6705,34.250807126771065,15.476658,0.092822,905.308604
721,6656,37.57302892202524,3.236931,0.448026,8243.8795
221,6621,608.7364432809243,277.592553,0.596719,14496.421714
119,6031,1429.376622613331,160.402209,0.196916,28567.20486
555,5693,158.2325269230634,70.601961,0.494233,6565.525278
431,5627,139.35622979527278,59.999928,0.325142,6232.844357
801,5292,641.9683330856009,239.8170575,0.340242,14211.720907
972,5210,206.38528432015354,80.9645945,0.268161,5233.275074
133,5093,173.83851116768113,61.894167,0.461507,4028.815374
543,5008,65.24162576876996,48.1335365,0.213244,1117.667393
311,4971,101.67347777268155,27.348867,0.474112,4286.51147
461,4943,240.52184069997978,100.872073,0.219431,3133.314416
98,4919,2531.3363454258997,625.842955,0.392103,48679.027545
128,4761,322.3845099691241,213.761369,0.490131,3003.897912
931,4707,27.800591286806885,3.195713,0.41238,1868.112572
101,4582,179.79711008271497,53.573557,0.234225,8241.142928
840,4578,63.25830498514636,8.284438,0.630793,1455.618185
819,4538,65.42823020008815,12.770402,0.69591,2899.50614
71,4537,159.1995024469914,100.412016,0.099063,1705.375046
824,4396,143.55169914376708,80.48936549999999,0.630793,2534.564797
652,4058,202.41811384154755,61.181628,0.437602,8137.527166
475,3931,35.936301927244976,18.410975,0.128792,1413.768503
692,3653,158.94073908924173,55.683173,0.517305,6337.927401
800,3586,59.74049942805354,9.61518,0.797871,3760.756499
813,3433,887.2003988333819,369.040354,0.846458,16218.876788
