variable,summary_type,count,missing_percentage,mean,median,std,min,max,n_unique,top_value,top_value_frequency
CARBON_AG,numeric,4540549,0.0,494.80082257626253,96.494999,1535.0011459321058,0.006032,180422.108817,,,
DIA,numeric,4540549,0.0,8.909114129150462,7.0,7.8016417014139146,1.0,192.0,,,
HT,numeric,4018110,11.50607558689489,52.09094250779595,47.0,30.882490519359692,1.0,331.0,,,
ACTUALHT,numeric,3346557,26.29620338862107,53.246981898112,48.0,31.12212668587438,1.0,331.0,,,
CR,numeric,4108770,9.509400735461725,42.69943924824217,40.0,18.245625462541877,0.0,100.0,,,
SPCD,numeric,4540549,0.0,332.9835561734936,202.0,292.60202175348894,11.0,8944.0,,,
STATECD,numeric,4540549,0.0,19.494896101770955,13.0,16.105778014234758,1.0,53.0,,,
FORTYPCD,numeric,4533620,0.15260269187712763,373.8949717885487,270.0,248.6844965812258,101.0,999.0,,,
OWNGRPCD,numeric,4537586,0.065256426040111,32.49394501834235,40.0,12.419024652214802,10.0,40.0,,,
SITECLCD,numeric,4533620,0.15260269187712763,4.424367944379988,5.0,1.1342512009560248,1.0,7.0,,,
STDAGE,numeric,4463270,1.7019748052493213,63.42100522710927,49.0,61.87679617849594,0.0,1028.0,,,
STDSZCD,numeric,4523345,0.37889691312658447,1.5996960214177782,1.0,0.7353557204038542,1.0,5.0,,,
