column_name,dtype,missing_count,missing_rate,n_unique
CN,int64,0,0.0,5796627
PLT_CN,int64,0,0.0,156762
PREV_TRE_CN,str,3217556,0.5550738386306381,2579071
INVYR,int64,0,0.0,34
STATECD,int64,0,0.0,6
UNITCD,int64,0,0.0,10
COUNTYCD,int64,0,0.0,160
PLOT,int64,0,0.0,26551
SUBP,int64,0,0.0,26
TREE,int64,0,0.0,88750
CONDID,int64,0,0.0,6
STATUSCD,int64,0,0.0,4
SPCD,int64,0,0.0,327
DIA,float64,291608,0.05030649720949787,3509
DIAHTCD,float64,4740,0.0008177169239973523,2
HT,str,1057730,0.18247335907589016,306
HTCD,str,1706518,0.29439844930508724,6
ACTUALHT,str,1807523,0.31182323789334726,302
CR,float64,1686578,0.2909585177724908,101
CCLCD,float64,1270533,0.2191848811386346,7
CARBON_AG,float64,738923,0.1274746503440708,1841912
CARBON_BG,float64,738677,0.12743221187080003,1699692
DRYBIO_AG,float64,897826,0.15488766139342758,1836735
DRYBIO_BG,float64,897492,0.154830041677686,1669477
VOLCFNET,float64,1952128,0.33676964206943105,1313766
VOLCSNET,float64,3992575,0.6887755586136558,644024
VOLBFNET,float64,3992603,0.6887803890089874,712450
TPA_UNADJ,float64,761644,0.1313943436415695,65277
PLOT_CN_KEY,int64,0,0.0,156762
STATECD_PLOT,int64,0,0.0,6
UNITCD_PLOT,int64,0,0.0,10
COUNTYCD_PLOT,int64,0,0.0,160
PLOT_PLOT,int64,0,0.0,26551
PLOT_STATUS_CD,float64,0,0.0,3
INVYR_PLOT,int64,0,0.0,34
MEASYEAR,float64,1034,0.0001783795990323338,46
MEASMON,float64,1462,0.000252215641958677,12
MEASDAY,float64,992825,0.171276330183053,32
LAT,float64,0,0.0,52181
LON,float64,0,0.0,52230
ELEV,str,185290,0.03196514110706106,787
has_plot_match,bool,0,0.0,1
CN_COND,int64,0,0.0,184609
COND_STATUS_CD,int64,0,0.0,5
FORTYPCD,float64,87003,0.015009245894207096,151
FLDTYPCD,str,1329728,0.2293968544120572,154
OWNGRPCD,float64,47515,0.008197008363657002,4
RESERVCD,float64,136288,0.023511604248470704,2
SITECLCD,float64,86865,0.014985438945786921,7
STDAGE,float64,127280,0.021957597064637763,511
STDSZCD,float64,97524,0.016824266940067042,4
BALIVE,float64,1155702,0.19937491234126328,130824
ALSTK,str,260899,0.04500876112953275,134208
GSSTK,str,263567,0.04546902879898948,135611
has_cond_match,bool,0,0.0,2
