variable,missing_count,missing_percentage,dtype
VOLBFNET,2768722,60.977692345132716,float64
VOLCSNET,2768722,60.977692345132716,float64
PREV_TRE_CN,2722831,59.966999585292434,str
ACTUALHT,1193992,26.29620338862107,float64
HTCD,1170052,25.768954370936203,str
FLDTYPCD,1070801,23.58307332439315,str
VOLCFNET,1063705,23.426792663177956,float64
BALIVE,942054,20.747579202426845,float64
MEASDAY,852275,18.77030729103463,float64
HT,522439,11.50607558689489,float64
CR,431779,9.509400735461725,float64
TPA_UNADJ,212648,4.683310322165888,float64
ELEV,138871,3.058462754173559,str
GSSTK,138281,3.0454687307636146,float64
ALSTK,135676,2.9880968138434363,float64
CCLCD,88276,1.9441701873495913,float64
RESERVCD,86529,1.9056946637950611,float64
STDAGE,42054,0.9261875601386529,float64
STDSZCD,17204,0.37889691312658447,float64
SITECLCD,6929,0.15260269187712763,float64
FORTYPCD,6929,0.15260269187712763,float64
OWNGRPCD,2963,0.065256426040111,float64
MEASMON,1295,0.028520780196403566,float64
MEASYEAR,877,0.01931484496698527,float64
DRYBIO_AG,83,0.0018279727847887997,float64
DRYBIO_BG,1,2.2023768491431325e-05,float64
CARBON_BG,1,2.2023768491431325e-05,float64
STATUSCD,0,0.0,int64
SPCD,0,0.0,int64
DIA,0,0.0,float64
CONDID,0,0.0,int64
PLOT,0,0.0,int64
STATECD,0,0.0,int64
CN,0,0.0,int64
PLT_CN,0,0.0,int64
INVYR,0,0.0,int64
COUNTYCD,0,0.0,int64
UNITCD,0,0.0,int64
DIAHTCD,0,0.0,float64
CARBON_AG,0,0.0,float64
SUBP,0,0.0,int64
TREE,0,0.0,int64
INVYR_PLOT,0,0.0,int64
COUNTYCD_PLOT,0,0.0,int64
PLOT_CN_KEY,0,0.0,int64
STATECD_PLOT,0,0.0,int64
UNITCD_PLOT,0,0.0,int64
LAT,0,0.0,float64
PLOT_PLOT,0,0.0,int64
PLOT_STATUS_CD,0,0.0,float64
CN_COND,0,0.0,int64
COND_STATUS_CD,0,0.0,int64
LON,0,0.0,float64
has_plot_match,0,0.0,bool
has_cond_match,0,0.0,bool
